# Server version 0.08 running on alexandre.local:8123
# Game ID: 42
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 700
# First Move Timeout: 30000
# Date: Wed Mar 22 15:38:23 EDT 2017
# Player 1: Player-0, 'RandomPlayer', running on alexandre.local
# Player 2: Player-1, 'Human', running on alexandre.local
START Player-0 RandomPlayer
START Player-1 Human
PIT 0 4
PIT 1 5
PIT 0 4
PIT 1 0
PIT 1 4
PIT 1 1
PIT 0 5
PIT 1 1
PIT 0 1
PIT 1 3
PIT 0 3
PIT 1 2
PIT 0 4
PIT 1 4
PIT 0 3
PIT 1 0
PIT 0 0
PIT 1 1
PIT 0 1
PIT 1 5
PIT 0 0
PIT 1 4
PIT 0 1
PIT 1 1
PIT 0 2
PIT 1 4
PIT 0 5
PIT 1 1
PIT 0 4
PIT 1 0
PIT 0 3
PIT 1 1
PIT 0 4
PIT 1 5
PIT 0 3
PIT 1 0
PIT 0 0
PIT 0 5
PIT 1 2
PIT 0 3
PIT 1 0
PIT 0 2
PIT 0 4
GAMEOVER WINNER 1         Player-0 score: 26  Player-1 score: 46
# Game ended: Wed Mar 22 15:40:08 EDT 2017
